2024-07-29 11:10:43,047 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,268 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,268 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,268 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,268 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:maxExclusive    ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-pattern                    ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:pattern         ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:length          ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,284 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:minLength       ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:maxLength       ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:totalDigits     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:fractionDigits  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN xs:element[@type]              ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-my-namespace-documents     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-type                       ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): element-type-forw ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN xs:element[@type]-forwardee    ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN handle-simple-elements         ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN handle-simple-element          ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-primitive-type             ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:pattern         ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,377 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,391 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,392 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,392 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,392 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,392 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:minLength       ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:enumeration     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,393 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,459 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,459 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,460 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:whiteSpace      ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,460 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,460 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,460 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,460 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,460 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,461 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,461 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,461 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-type-specifics             ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,461 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,462 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-type-defaults              ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,462 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:fractionDigits  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,462 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,462 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,462 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,463 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,465 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,465 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,465 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,465 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-numeric-range              ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,466 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:minInclusive    ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,466 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,466 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,466 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,466 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,467 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,467 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,467 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,467 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:minExclusive    ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,467 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,467 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,468 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,468 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,468 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,468 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,468 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,468 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:maxInclusive    ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,469 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,469 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,469 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,469 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,469 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,469 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,469 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,469 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:maxExclusive    ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,470 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,470 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,470 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,470 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,470 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,470 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,471 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,471 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-pattern                    ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,471 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:pattern         ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,471 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,471 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,471 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,472 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 12:44:24,472 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED int                  OF TYPE xs:int              
2024-07-29 12:44:24,472 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED int                  OF TYPE xs:int              
